accuracy,iteration,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.3619631901840491,227,42,11,8,9,0.43255675000000005,24,True
0.3619631901840491,36,42,392,8,7,0.6050395000000001,13,False
0.49079754601226994,171,42,154,5,1,0.3050695,32,False
0.3803680981595092,106,42,201,8,6,0.8000200000000001,22,False
0.1901840490797546,231,42,157,8,8,0.530047,1,True
0.4233128834355828,120,42,267,3,3,0.39256075,36,False
0.4233128834355828,180,42,237,2,5,0.43755625000000004,40,True
0.4539877300613497,142,42,396,4,5,0.26257375,26,False
0.3496932515337423,95,42,330,10,10,0.6575342500000001,None,False
0.2392638036809816,235,42,94,10,10,0.0150985,5,False
0.32515337423312884,44,42,325,9,8,0.7950205,14,False
0.26380368098159507,224,42,31,3,10,0.9500050000000001,7,False
0.20245398773006135,228,42,261,2,6,0.7850215,2,True
0.4233128834355828,152,42,204,6,2,0.65253475,19,True
0.4294478527607362,127,42,338,2,6,0.660034,37,True
0.26993865030674846,198,42,59,2,2,0.8275172500000001,16,False
0.4294478527607362,201,42,236,3,2,0.2050795,12,False
0.294478527607362,239,42,51,3,2,0.47255275,5,True
0.26380368098159507,243,42,102,3,9,0.31256875,4,False
0.3987730061349693,103,42,279,5,4,0.550045,36,False
0.25766871165644173,246,42,24,9,8,0.73252675,6,False
0.4171779141104294,219,42,274,6,9,0.1450855,16,False
0.4233128834355828,234,42,189,7,10,0.110089,17,False
0.3803680981595092,226,42,234,6,8,0.22757725,32,True
0.4110429447852761,225,42,192,6,2,0.1750825,10,False
0.36809815950920244,181,42,213,4,4,0.8350165,10,True
0.4171779141104294,124,42,298,2,7,0.94250575,29,True
0.39263803680981596,133,42,323,4,10,0.9750025000000001,36,True
0.3987730061349693,211,42,111,2,4,0.7175282500000001,16,True
0.4601226993865031,221,42,83,8,1,0.430057,27,False
0.4539877300613497,206,42,266,5,7,0.290071,18,False
0.3128834355828221,189,42,168,8,9,0.7750225000000001,12,False
0.3987730061349693,166,42,248,3,8,0.550045,31,False
0.20245398773006135,250,42,358,7,8,0.6675332500000001,2,True
0.43558282208588955,249,42,62,9,1,0.36756325,28,True
0.20245398773006135,258,42,68,9,10,0.9450055,2,False
0.4294478527607362,237,42,164,3,9,0.2750725,12,False
0.4294478527607362,218,42,194,5,2,0.30756925,40,True
0.4294478527607362,208,42,371,2,8,0.21257875,28,False
0.3987730061349693,223,42,157,6,4,0.48005200000000003,25,True
0.19631901840490798,267,42,328,2,1,0.05259475000000001,3,False
0.4171779141104294,216,42,374,7,3,0.19258075,28,True
0.4294478527607362,241,42,299,6,5,0.15258475,13,False
0.39263803680981596,162,42,358,8,10,0.810019,None,True
0.39263803680981596,270,42,225,8,3,0.01759825,34,False
0.3987730061349693,165,42,353,9,7,0.68753125,40,True
0.4294478527607362,260,42,142,3,4,0.15508450000000001,10,False
0.39263803680981596,217,42,214,7,8,0.65253475,17,True
0.39263803680981596,229,42,156,9,7,0.7300270000000001,30,True
0.4049079754601227,259,42,89,9,2,0.28757125,23,True
0.39263803680981596,255,42,287,2,9,0.21257875,27,True
0.3496932515337423,197,42,169,7,6,0.80751925,11,False
0.48466257668711654,215,42,246,7,3,0.24257575,32,False
0.4171779141104294,263,42,51,7,5,0.36756325,26,False
0.4785276073619632,186,42,296,2,2,0.30007,18,False
0.37423312883435583,265,42,168,9,8,0.36006400000000005,7,True
0.43558282208588955,261,42,194,7,6,0.12508750000000002,18,False
