accuracy,iteration,time,shrinking,random_state,max_iter,kernel,decision_function_shape,class_weight,C
0.4539877300613497,53,99.15607333183289,False,42,10000,linear,ovr,None,4.092606597300105
0.4662576687116564,50,106.28305125236511,True,42,10000,linear,ovr,balanced,0.017076544728138743
0.43558282208588955,55,99.71219253540039,False,42,10000,linear,ovr,balanced,0.032329575336809406
0.43558282208588955,49,111.40565800666809,True,42,10000,linear,ovr,balanced,0.030846081377571413
0.4233128834355828,54,102.34608745574951,False,42,10000,linear,ovr,balanced,193.73139245819533
0.4539877300613497,58,98.82593011856079,False,42,10000,linear,ovr,None,34.260997248813695
0.49693251533742333,59,98.56725406646729,False,42,10000,linear,ovr,balanced,0.0043371056350044145
0.4233128834355828,63,96.54259514808655,False,42,10000,linear,ovr,balanced,943.6262202767251
0.4539877300613497,60,102.88078331947327,False,42,10000,linear,ovr,None,0.4716284552998378
0.4539877300613497,57,107.62031126022339,True,42,10000,linear,ovr,None,3.6441815078886086
0.4233128834355828,56,108.78369808197021,True,42,10000,linear,ovr,balanced,0.588301559988882
0.4233128834355828,66,102.26367950439453,False,42,10000,linear,ovr,balanced,295.665056508294
0.49079754601226994,68,102.69088315963745,False,42,10000,linear,ovr,None,0.004897788193684461
0.4539877300613497,64,109.40345907211304,True,42,10000,linear,ovr,None,0.4677351412871981
0.4233128834355828,61,112.37705421447754,True,42,10000,linear,ovr,balanced,0.11945380829338861
0.4539877300613497,62,112.86904811859131,True,42,10000,linear,ovr,None,0.1863802972346199
0.4539877300613497,67,110.58169794082642,True,42,10000,linear,ovr,None,2.0511621788255647
0.4233128834355828,65,116.16685318946838,True,42,10000,linear,ovr,balanced,49.20395356814501
0.49693251533742333,69,113.18596267700195,True,42,10000,linear,ovr,balanced,0.0042305808577652315
0.4233128834355828,70,113.44327211380005,True,42,10000,linear,ovr,balanced,1.4481048230513716
0.4539877300613497,71,115.89086079597473,True,42,10000,linear,ovr,None,151.0775731924994
0.4539877300613497,74,100.71162581443787,False,42,10000,linear,ovr,None,0.588301559988882
0.48466257668711654,73,103.70367407798767,False,42,10000,linear,ovr,balanced,0.0019516413002858264
0.4233128834355828,81,96.65374636650085,False,42,10000,linear,ovr,balanced,7.834296427662112
0.4539877300613497,72,110.96407055854797,True,42,10000,linear,ovr,balanced,0.018501204347718587
0.4539877300613497,77,100.00978255271912,False,42,10000,linear,ovr,None,469.0293284059374
0.4539877300613497,80,100.88552665710449,False,42,10000,linear,ovr,None,0.029675633580735286
0.49079754601226994,79,101.81225633621216,False,42,10000,linear,ovr,None,0.005796955946535209
0.4233128834355828,83,98.7478301525116,False,42,10000,linear,ovr,balanced,25.072636247771165
0.4539877300613497,75,110.85595798492432,True,42,10000,linear,ovr,None,0.17442149315611752
0.4539877300613497,84,100.48816967010498,False,42,10000,linear,ovr,None,3.7566436461445862
0.4539877300613497,85,100.55304646492004,False,42,10000,linear,ovr,None,353.8343568147222
0.4539877300613497,78,111.72697520256042,True,42,10000,linear,ovr,None,0.03025519803872306
0.4539877300613497,76,113.65522193908691,True,42,10000,linear,ovr,None,6.899220098440467
0.4233128834355828,89,95.80632972717285,False,42,10000,linear,ovr,balanced,0.7670081876935095
0.4233128834355828,82,111.52813029289246,True,42,10000,linear,ovr,balanced,6.109420249055715
0.4539877300613497,91,99.11793971061707,False,42,10000,linear,ovr,None,137.91134690235992
0.4539877300613497,86,109.56920123100281,True,42,10000,linear,ovr,None,0.9541134102819789
0.4233128834355828,92,99.79829502105713,False,42,10000,linear,ovr,balanced,45.91980128368685
0.4539877300613497,90,104.79163408279419,False,42,10000,linear,ovr,None,0.07066429004252071
0.4539877300613497,87,107.2261893749237,True,42,10000,linear,ovr,None,543.0002130657377
0.4539877300613497,88,109.53284049034119,True,42,10000,linear,ovr,None,1.4845676750522714
0.4233128834355828,95,101.95561647415161,False,42,10000,linear,ovr,balanced,21.066869257394146
0.4539877300613497,93,114.95277285575867,True,42,10000,linear,ovr,None,2.6157726827191055
0.4233128834355828,94,114.96305203437805,True,42,10000,linear,ovr,balanced,0.29080374827353117
0.4539877300613497,99,102.4382107257843,False,42,10000,linear,ovr,None,0.04630202658603082
0.4233128834355828,104,96.6041157245636,False,42,10000,linear,ovr,balanced,606.4569815101354
0.4233128834355828,96,109.98171043395996,True,42,10000,linear,ovr,balanced,0.34897956743787417
0.4233128834355828,97,111.40588927268982,True,42,10000,linear,ovr,balanced,77.41052270741217
0.4539877300613497,100,110.90679621696472,True,42,10000,linear,ovr,None,33.69767985844033
0.4233128834355828,106,101.72692823410034,False,42,10000,linear,ovr,balanced,85.74326166361787
0.4539877300613497,98,113.79644823074341,True,42,10000,linear,ovr,None,92.12977276685545
0.4539877300613497,108,98.99760437011719,False,42,10000,linear,ovr,None,0.46004466639347785
0.4539877300613497,107,101.96207976341248,False,42,10000,linear,ovr,None,16.383247796286373
0.4785276073619632,101,112.17738032341003,True,42,10000,linear,ovr,balanced,0.0013854791675667229
0.4539877300613497,102,112.94664978981018,True,42,10000,linear,ovr,None,33.32728995761372
0.4233128834355828,110,102.01238751411438,False,42,10000,linear,ovr,balanced,784.1515405281202
0.4233128834355828,103,112.2226049900055,True,42,10000,linear,ovr,balanced,265.4605561975536
0.4539877300613497,105,113.2381911277771,True,42,10000,linear,ovr,None,54.35005651294466
0.4233128834355828,111,101.89027070999146,False,42,10000,linear,ovr,balanced,2.36809979387379
0.4233128834355828,112,101.71246027946472,False,42,10000,linear,ovr,balanced,17.458221529205037
0.4601226993865031,113,101.90250611305237,False,42,10000,linear,ovr,None,0.018146797793969282
0.4539877300613497,116,100.69184017181396,False,42,10000,linear,ovr,None,3.9264493539959973
0.4539877300613497,109,113.45776748657227,True,42,10000,linear,ovr,None,682.9674408079633
0.4539877300613497,114,108.71975898742676,True,42,10000,linear,ovr,None,387.6144867002404
0.4233128834355828,115,111.20259237289429,True,42,10000,linear,ovr,balanced,0.23768402866248758
0.49693251533742333,118,99.24489903450012,False,42,10000,linear,ovr,None,0.003926449353995997
0.4785276073619632,117,111.1285834312439,True,42,10000,linear,ovr,balanced,0.014709570767969771
0.43558282208588955,119,112.6076648235321,True,42,10000,linear,ovr,balanced,0.03008846276645725
0.4233128834355828,122,99.09853935241699,False,42,10000,linear,ovr,balanced,384.4147117595774
0.4539877300613497,125,98.3660786151886,False,42,10000,linear,ovr,None,1.1934383792107943
0.4233128834355828,127,97.95654010772705,False,42,10000,linear,ovr,balanced,8.12082216249983
0.49693251533742333,124,100.15295696258545,False,42,10000,linear,ovr,balanced,0.003317416496945389
0.4233128834355828,123,103.44584441184998,False,42,10000,linear,ovr,balanced,6.367955209079155
0.4539877300613497,121,108.9483573436737,True,42,10000,linear,ovr,None,1.5473907628208767
0.4723926380368098,120,112.94870924949646,True,42,10000,linear,ovr,None,0.013652116950664461
0.49079754601226994,126,104.26226687431335,False,42,10000,linear,ovr,balanced,0.0046730453963150995
0.4785276073619632,131,101.4402506351471,False,42,10000,linear,ovr,balanced,0.0012717448862880681
0.4601226993865031,128,109.71185994148254,True,42,10000,linear,ovr,None,0.017314103128901543
0.4785276073619632,130,108.7166736125946,True,42,10000,linear,ovr,balanced,0.01274089685919111
0.4539877300613497,129,110.53622817993164,True,42,10000,linear,ovr,None,193.19683170169222
0.4662576687116564,133,103.61980128288269,False,42,10000,linear,ovr,balanced,0.017123794212449275
