accuracy,iteration,time,random_state,n_estimators,min_samples_split,min_samples_leaf,max_features,max_depth,bootstrap
0.4601226993865031,30,926.9586963653564,42,242,2,2,0.8550145000000001,35,True
0.4723926380368098,31,922.0059061050415,42,350,5,4,0.47005300000000005,19,False
0.3006134969325153,86,136.36865615844727,42,159,8,1,0.7550245000000001,4,False
0.2822085889570552,45,802.1621060371399,42,166,6,4,0.9975002500000001,31,False
0.4723926380368098,91,172.14632964134216,42,319,2,3,0.130087,10,False
0.4601226993865031,97,121.96602392196655,42,177,8,6,0.2150785,36,True
0.38650306748466257,62,564.176299571991,42,165,4,8,0.8300170000000001,27,False
0.4662576687116564,89,209.18362259864807,42,89,9,9,0.8950105,28,True
0.44785276073619634,81,335.49408888816833,42,81,2,2,0.64753525,21,False
0.3558282208588957,43,919.9578075408936,42,240,8,8,0.9275072500000001,28,False
0.36809815950920244,68,579.7600779533386,42,143,3,7,0.9025097500000001,33,False
0.4723926380368098,83,325.51054215431213,42,189,2,6,0.35256475000000004,28,False
0.44171779141104295,36,1001.8771488666534,42,392,8,7,0.6050395000000001,13,False
0.4539877300613497,75,481.3872535228729,42,340,7,10,0.5750425,22,True
0.3987730061349693,113,10.813364028930664,42,29,5,9,0.15758425,19,True
0.4723926380368098,102,177.1423568725586,42,57,6,2,0.46755325000000003,30,False
0.24539877300613497,114,21.651846408843994,42,162,7,1,0.5950405000000001,2,True
0.44785276073619634,92,298.7094621658325,42,351,6,10,0.2450755,9,False
0.15337423312883436,116,4.762276649475098,42,110,3,6,0.19258075,1,False
0.44171779141104295,104,137.55188393592834,42,269,6,10,0.240076,12,True
0.4233128834355828,111,74.00654768943787,42,60,7,10,0.5150485,9,True
0.4539877300613497,109,95.91771388053894,42,35,5,3,0.6750325,32,True
0.4233128834355828,108,104.81694626808167,42,85,4,5,0.69753025,7,True
0.4171779141104294,119,24.600225925445557,42,117,5,7,0.06009400000000001,12,True
0.5214723926380368,100,261.4389419555664,42,265,7,3,0.14758525,26,False
0.4662576687116564,85,423.7692611217499,42,274,2,3,0.42255775,22,True
0.4294478527607362,107,170.26238822937012,42,75,3,4,0.5825417500000001,33,True
0.4294478527607362,105,184.02814435958862,42,144,7,6,0.8850115000000001,6,True
0.4601226993865031,115,106.32578563690186,42,121,10,9,0.20757925000000002,18,False
0.44785276073619634,110,153.45692014694214,42,386,9,10,0.08509150000000001,20,False
0.39263803680981596,44,1098.00519156456,42,325,9,8,0.7950205,14,False
0.43558282208588955,93,389.7131333351135,42,145,3,7,0.5350465000000001,28,False
0.4601226993865031,118,132.9043881893158,42,52,4,3,0.62253775,31,True
0.4662576687116564,96,400.19535994529724,42,296,2,9,0.5450455000000001,18,True
0.4601226993865031,123,141.51617288589478,42,136,7,5,0.31006900000000004,23,True
0.4723926380368098,128,102.45200228691101,42,49,5,1,0.40006,40,True
0.39263803680981596,135,1.8751716613769531,42,12,8,7,0.025097500000000002,28,False
0.43558282208588955,131,77.48776412010193,42,37,4,1,0.50254975,15,False
0.4233128834355828,134,52.93645238876343,42,75,4,10,0.3250675,33,True
0.19631901840490798,138,1.5218217372894287,42,78,3,6,0.10009000000000001,2,True
0.4233128834355828,137,34.68753981590271,42,54,3,6,0.15258475,None,True
0.4233128834355828,101,449.92078709602356,42,314,4,10,0.5550445,18,True
0.44171779141104295,98,499.30462098121643,42,201,10,7,0.5800420000000001,23,False
0.4601226993865031,130,143.24242424964905,42,215,4,9,0.150085,25,False
0.4723926380368098,117,259.63827681541443,42,96,3,4,0.49755025,34,False
0.25766871165644173,140,30.09618067741394,42,199,3,8,0.25007500000000005,3,True
0.4662576687116564,122,295.8890106678009,42,262,10,10,0.28757125,28,False
0.2331288343558282,136,134.71265363693237,42,268,10,7,0.7275272500000001,3,False
0.4662576687116564,129,237.8020384311676,42,79,7,7,0.9500050000000001,31,True
0.4723926380368098,112,395.9816052913666,42,337,10,10,0.30756925,None,False
0.4785276073619632,143,157.63848853111267,42,117,8,10,0.2750725,17,False
0.44171779141104295,121,393.7306854724884,42,210,9,8,0.49505050000000006,20,False
0.5153374233128835,148,106.72579026222229,42,72,6,4,0.25007500000000005,25,False
0.44171779141104295,141,224.2337830066681,42,277,5,7,0.320068,10,True
0.4539877300613497,144,261.9682173728943,42,273,7,7,0.29757025000000004,36,True
0.44785276073619634,95,782.665477514267,42,330,10,10,0.6575342500000001,None,False
