Contrafact,Original Song
"""Shag""","""I Got Rhythm"""
"""Shawnee""","""Cherokee"""
"""Shaw 'Nuff""","""I Got Rhythm"""
"""She Rote""","""Beyond the Blue Horizon"""
"""Shelley""","""Rosetta"""
"""Shoo Shoo Baby""","""I Got Rhythm"""
"""Smog Eyes""","""There Will Never Be Another You"""
"""Smoke Signal",“Lover”
"""Smokey Joe""","""I Got Rhythm"""
"""So Sorry Please""","""I Got Rhythm"""
"""Soflee""","""Softly, as in a Morning Sunrise"""
"""Solid Potato Salad""","""I Got Rhythm"""
"""Something Like a Bird""","""Idaho"""
"""Sonnyside""","""I Got Rhythm"""
"""Split Feelin's""","""I Got Rhythm"""
"""Split Kick""","""There Will Never Be Another You"""
"""Spotlite""","""Just You, Just Me"""
"""Spur of the Moment""","""'S Wonderful"""
"""Squatty Roo""","""I Got Rhythm"""
"""Stan Getz Along""","""'S Wonderful"""
"""Status Quo""","""There Will Never Be Another You"""
"""Stay On It""","""I Got Rhythm"""
"""Steeplechase""","""I Got Rhythm"""
"""Stop""","""Pennies from Heaven"""
"""Stop The Red Light's On""","""I Got Rhythm"""
"""Stoptime""","""Sweet Georgia Brown"""
"""Straight Ahead""","""I Got Rhythm"""
"""Straight Life""","""After You've Gone"""
"""Straighten Up and Fly Right""","""I Got Rhythm"""
"""The Street Beat""","""I Got Rhythm"""
"""Strictly Confidential""","""I Got Rhythm"""
"""Striver's Row""","""Confirmation"""
"""Stupendous""","""'S Wonderful"""
"""Sub-Atomic Dominant""","""Sweet Georgia Brown"""
"""Suburban Eyes""","""All God's Chillun Got Rhythm"""
"""Subconscious Lee""","""What Is This Thing Called Love?"""
"""Suspone""","""I Got Rhythm"""
"""Swedish Schnapps""","""I Got Rhythm"""
"""Sweet Clifford""","""Sweet Georgia Brown"""
"""Sweet Thing""","""In Your Own Sweet Way"""
"""Sweets""","""Oh, Lady Be Good!"""
"""Swing House""","""Sweet Georgia Brown"""
"""Swing Spring""","""I Got Rhythm"""
"""Swingin' For Bumsy""","""I Got Rhythm"""
"""Swingin' With Diane""","""I Got Rhythm"""
"""Symphonette""","""I Got Rhythm"""
"""Syntax""","""I Got Rhythm"""
"""Tadd's Delight""","""But Not For Me"""
"""Tah-De-ah""","""I Got Rhythm"""
"""'TAin't What You Do""","""I Got Rhythm"""
"""Take 'em""","""I Got Rhythm"""
"""Tale Of The Fingers""","""Strike Up The Band"""
"""Tangibility""","""I Got Rhythm"""
"""Teapot""","""Sweet Georgia Brown"""
"""That's My Kick""","""I Get A Kick Out Of You"""
"""The Theme""","""I Got Rhythm"""
"""Theme for Penny""","""Giant Steps"""
"""Thingin""","""All the Things You Are"""
"""Third Event""","""Giant Steps"""
"""Third Rail""","""I Got Rhythm"""
"""Tide""""","""Wave"
"""Tippin'""","""I Got Rhythm"""
"""Tiptoe""","""I Got Rhythm"""
"""Tollbridge""","""Oh, Lady Be Good!"""
"""Tony's Tune""","""'S Wonderful"""
"""Tour De Force""","""Jeepers Creepers"""
"""Transfiguration""",“Gone with the Wind”
"""Translation""","""What's New?"""""
"""Turnpike""","""I Got Rhythm"""
"""Tuxedo Junction""","""I Got Rhythm"""
"""Twelve""","""Easy to Love"""
"""Two Fathers""","""Oh, Lady Be Good!"""
"""Two in Love""","""I Love You"""
"""Up On Teddy's Hill""","""Honeysuckle Rose"""
"""Victory Ball""","""'S Wonderful"""
"""Visitation""","""All God's Chillun Got Rhythm"""
"""Vodka""","""Yesterdays"""
"""Wail""","""I Got Rhythm"""
"""Wake Up!""",“I Got Rhythm”
"""Walk, Don't Run""","""Softly, as in a Morning Sunrise"""
"""Waltz New""","""Someday My Prince Will Come"""
"""Webb City""","""I Got Rhythm"""
"""Wee"" aka ""Allen's Alley""","""I Got Rhythm"""
"""Weeja""","""Confirmation"""
"""Wells Fargo""","""I Got Rhythm"""
"""Wendy""","""For All We Know"""
"""Westwood Walk""","""Fine and Dandy"""
"""Wham Bam Thank You Ma'am""","""What Is This Thing Called Love?"""
"""What Love?""","""What Is This Thing Called Love?"""
"""Who's Who""","""I Got Rhythm"""
"""Wiggly Walk""","""I Got Rhythm"""
"""Wire Brush Stomp""","""I Got Rhythm"""
"""Wolf Talk"" aka ""Wolf's Talk""",“I Got Rhythm”
"""Wow""","""You Can Depend on Me"""
"""XYZ""","""I Got Rhythm"""
"""Yardbird Suite""","""Rosetta"""
"""Yeah Man""","""I Got Rhythm"""
"""Yellow Dolphin Street""","""On Green Dolphin Street"""
"""Young Lee""","""All The Things You Are"""
"""You Gotta Dig It to Dig It""","""Cherokee"""
"""You're Not The Kind""","""Pennies from Heaven"""
"""Zog's Jog""","""Cherokee"""
