,track_name,final_track_name,clustered_track_name,pianist,mbz_id
101,Giant Steps,giant steps,giant steps,Tommy Flanagan,792f8e7a-66b7-4154-9aec-0508afd5af3f
102,Friday the 13th,friday the 13th,friday the 13th,Tommy Flanagan,691af139-e2be-43c8-a53f-f1bd53500f81
103,I Mean You,i mean you,i mean you,Thelonious Monk,537d3c05-7bad-456c-a215-9fb13851212e
104,Daahoud,daahoud,daahoud,Ahmad Jamal,0297e792-4bca-406c-8076-5e2a47c094c4
105,Tranquility,tranquility,tranquility,Ahmad Jamal,4cc954d6-1e00-4bfd-b0e3-d12d2b5f853b
106,Sweet Basil Swing,sweet basil swing,sweet basil swing,McCoy Tyner,b9a2a6f5-f945-468b-b919-ba36de74650b
107,Peris Scope,peris scope,peris scope,Bill Evans,0e6c1811-27a8-4a0e-8ccc-02577c0f3f7c
108,It Could Happen to You,it could happen to you,it could happen to you,Ahmad Jamal,428c7e1e-e0dd-4a1c-8361-6edc979d2806
109,Captain Bill,captain bill,captain bill,Gene Harris,55344881-0af4-4eb9-86b9-263c7ceaf7e4
110,Beautiful Love,beautiful love,beautiful love,Bill Evans,afd1a0de-5e1f-4fd8-a594-be95810836ce
111,Ive Got You Under My Skin,ive got you under my skin,ive got you under my skin,Oscar Peterson,4fa252b6-45d8-47ef-8a46-7e3c580d613a
112,My Shining Hour,my shining hour,my shining hour,Tommy Flanagan,8ae917cc-aa80-42d2-b7b8-7e18d19a7383
113,My Beautiful Lady,my beautiful lady,my beautiful lady,Kenny Drew,45abb28f-9415-400f-9368-918c9aa755b6
114,Reets and I,all gods children,all gods chillun got rhythm,Bud Powell,c04edcb9-e573-454b-9120-a0d3c21d3dc1
115,Trio alternate,trio,trio,Herbie Nichols,805fdc11-a1ae-4fcf-9f11-49134c72ddf1
116,Airolo Blue,airolo blue,airolo blue,Abdullah Ibrahim,a1db4e2c-2007-43c0-9cb9-f278f5c5ef2c
117,Rough Ridin,rough ridin,rough ridin,Tommy Flanagan,6bd95797-97ee-48cd-9f0b-d75f31a7b1f4
118,Just You Just Me,just you just me,just you just me,Thelonious Monk,12489ef3-756c-4394-91f5-a49d16edf627
119,Song From MASH Suicide Is Painless,song from mash suicide is painless,song from mash suicide is painless,Bill Evans,f99669a6-fd95-42f0-96bd-c85b93a20622
120,I Thought About You,i thought about you,i thought about you,Keith Jarrett,340a16bd-d70a-4b7f-987c-c84696e55222
121,Star Eyes,star eyes,star eyes,Bill Evans,6efdf545-0330-4457-9702-9506c90cd30e
122,Sleepin Bee,sleepin bee,sleepin bee,Bill Evans,5a2f7f8a-5697-46f8-a128-c88dd3306245
123,What Is This Thing Called Love,what is this thing called love,what is this thing called love,Ahmad Jamal,41d8df86-b05e-4316-8819-4376ee295dbc
124,This Guys in Love With You,this guys in love with you,this guys in love with you,Cedar Walton,9c6de98c-30b4-4ed9-8efd-9ccb28aa298b
125,Bemsha Swing,bemsha swing,bemsha swing,Kenny Barron,51c9b63f-d6ac-4752-a4b9-97e4a8d8cf33
126,Five,five,five,Bill Evans,12482cc1-e3c9-4014-812b-cfbfd2fd1c1a
127,Will You Still Be Mine,will you still be mine,will you still be mine,McCoy Tyner,f77d8793-a30f-4092-bfae-154753483452
128,Speak Low,speak low,speak low,Hank Jones,ff7fa594-ef8c-4167-9f19-cc124c2c1db8
129,Cheryl,cheryl,cheryl,Brad Mehldau,5b112407-6868-461b-bd86-1a7d2bbee935
130,Youre My Everything,youre my everything,youre my everything,Benny Green,031d03c8-72f0-45ef-be20-b4355f606bf9
131,Riff Primitif,riff primitif,riff primitif,Herbie Nichols,d79d3ad5-89c0-4ecb-b7a1-411b547a470b
132,In the Evening,in the evening,in the evening,Junior Mance,fc18d5f4-422d-4605-ac2b-b0b8b3b5340f
133,There Is No Greater Love,no greater love,no greater love,Wynton Kelly,372399bb-bd8f-4473-a14f-853b5fb3d7f3
134,Lush Life,lush life,lush life,McCoy Tyner,f77a8934-a61a-4fc3-a958-de6731ed966e
135,Blues for Big Scotia,blues for big scotia,blues for big scotia,Oscar Peterson,4d63158e-a904-450e-9a9d-cddd09e69481
136,Stella by Starlight,stella by starlight,stella by starlight,Bill Evans,2892c267-86d0-461f-ae26-75508b7be383
137,Work Song,work song,work song,Hank Jones,e3786b39-fd27-453d-a2aa-718c77d65796
138,Moose the Mooche,i got rhythm,i got rhythm,Hank Jones,7e5dce4e-ac69-4018-bf49-cab285db0820
139,Who Can I Turn To,who can i turn to,who can i turn to,Bill Evans,d0344842-cfd8-4f3e-9ba3-c2f67fa40cb0
140,Oh Lady Be Good,oh lady be good,oh lady be good,Gene Harris,356c21ac-dc4e-48f8-be34-00ce0181d14e
141,Shuffle Montgomery alternate,shuffle montgomery,shuffle montgomery,Herbie Nichols,d8535a17-15cb-4f8d-bac5-69d4c3fc9888
142,All the Things You Are,all the things you are,all the things you are,Keith Jarrett,540b9c38-5c19-461a-8114-a465c8abe29b
143,The Theme,i got rhythm,i got rhythm,Paul Bley,bebadc84-139e-4af6-bb8b-e34bd9d81b62
144,Midnight Mood,midnight mood,midnight mood,Bill Evans,00581d7e-95d2-456f-ae32-4152b66da454
145,It Happened in Monterey,it happened in monterey,it happened in monterey,Oscar Peterson,ae932c54-72b4-43f2-bdf1-d6a78112001c
146,People,people,people,Hampton Hawes,b04acaf2-56e4-4f71-81b3-40b210332708
147,Dance to the Lady,dance to the lady,dance to the lady,Ahmad Jamal,a4cc1801-58c9-4c16-b707-ad833a278899
148,Monks Dream,monks dream,monks dream,Paul Bley,145ce714-e0b1-4221-afcc-c7fba3bb9eed
149,Medi II,medi ii,medi ii,John Hicks,b99dde06-d397-4ced-9bae-1d79ebf60bb3
150,Turn Out The Stars,turn out the stars,turn out the stars,Bill Evans,e755b790-693f-480d-9792-fc25c036ad51
151,Oh Lady Be Good,oh lady be good,oh lady be good,Tommy Flanagan,225bd06b-5d99-4cc6-a4d2-84d33c4c5b45
152,My Romance,my romance,my romance,Hampton Hawes,b64be2c4-dac9-46fa-919f-0eba17d8f0d3
153,Nows the Time,nows the time,nows the time,Paul Bley,c7e19d41-20b7-41ef-85e4-88d66b821cc6
